iter	MultiClass
0	0.817086056
1	0.7207256644
2	0.650887711933	0.608900555644	0.579026628855	0.556398841166	0.547855193877	0.5330284207
8	0.5231355354
9	0.5144937919
10	0.5075322374
11	0.4996371167
12	0.4894663376
13	0.4840019767
14	0.4798342975
15	0.4759427763
16	0.4708606287
17	0.4645144378
18	0.4540019175
19	0.4465966845
20	0.4428485953
21	0.4388709508
22	0.4333405495
23	0.428448367
24	0.4242750252
25	0.420222351
26	0.4151883916
27	0.4112561959
28	0.4065743472
29	0.4016750093
30	0.3966836263
31	0.3941687899
32	0.3917634881
33	0.389963815
34	0.3863461096
35	0.3822620947
36	0.3760128295
37	0.3723939306
38	0.3704918044
39	0.3667061026
40	0.3640367846
41	0.360891854
42	0.3582915867
43	0.3554853875
44	0.3531364115
45	0.3507046872
46	0.3494102975
47	0.3453051637
48	0.3417632625
49	0.3400146175
50	0.338414366
51	0.3351240669
52	0.3309848486
53	0.3287326201
54	0.3238090982
55	0.3212734651
56	0.3194955788
57	0.3173560775
58	0.313985215
59	0.3116754294
60	0.3092160724
61	0.3082290903
62	0.3056641149
63	0.3029769653
64	0.3013217565
65	0.2988364993
66	0.295416265
67	0.2937010008
68	0.2919284773
69	0.2897950391
70	0.2872904141
71	0.2834419563
72	0.2812132088
73	0.2783375627
74	0.276860461
75	0.2749003407
76	0.2727986975
77	0.270384462
78	0.2682370577
79	0.2658045771
80	0.2635282093
81	0.2600355297
82	0.2587702807
83	0.2566962693
84	0.2546592674
85	0.2529240448
86	0.2502437228
87	0.2493654066
88	0.2465909911
89	0.2448287028
90	0.2419143958
91	0.2402977935
92	0.2381655204
93	0.2370095826
94	0.2353096415
95	0.2338137571
96	0.2295968883
97	0.2280777193
98	0.2259773213
99	0.2238588409
785
